ROUGE-L,BLEU,F1,BERT Score,Embedding Similarity,Hybrid Score
0.14457831325301204,2.1562467214096475,0.19607843137254904,0.8371809124946594,0.7557029,0.40106731357230574
0.23148148148148145,2.99386624213049,0.2201834862385321,0.8727231621742249,0.77032655,0.5546326071605248
0.1323529411764706,1.17170371353362,0.16279069767441862,0.8237793445587158,0.56611884,0.29283189566480866
0.19718309859154928,0.8617830041262791,0.2,0.8569048643112183,0.5302807,0.40505421813310977
0.2110091743119266,1.4521673571898857,0.2113821138211382,0.8437254428863525,0.6106436,0.4187299732372002
0.09090909090909091,0.9167838327954699,0.0979020979020979,0.835375964641571,0.68348825,0.2889248933488796
0.23140495867768593,3.2580119882224188,0.3518518518518519,0.8367453217506409,0.6459867,0.5072365096000044
0.21548821548821548,5.520348459169549,0.38461538461538464,0.8549061417579651,0.84976923,0.6275364675506607
0.11799410029498525,4.188525828486855,0.11475409836065574,0.8442542552947998,0.58416617,0.3509293961214721
0.09345794392523364,0.4310764544910433,0.12698412698412698,0.8370015621185303,0.35285705,0.21894937576124746
0.2537562604340568,15.008487856667655,0.49113924050632907,0.8708090782165527,0.9182281,0.8713257305802384
0.06462035541195477,0.40609034319956117,0.05620608899297423,0.8063996434211731,0.48707414,0.1407601830546434
0.21138211382113822,9.078128831210421,0.4444444444444445,0.8607703447341919,0.86585486,0.7126947511536212
0.18461538461538463,1.3799403367404997,0.21621621621621623,0.8534121513366699,0.46810466,0.3881956875969864
0.10810810810810811,1.8777510442160874,0.18181818181818185,0.8311554789543152,0.3655643,0.2609587008239009
0.10196078431372549,3.442512241341717,0.13924050632911394,0.8337273001670837,0.6066457,0.3244202011694088
0.09876543209876543,1.895596612335734,0.06511627906976744,0.822767972946167,0.6288315,0.2543409957616063
0.08080808080808081,0.1571857560241017,0.07017543859649122,0.8399695158004761,0.6724044,0.2678323349917684
0.15023474178403756,1.072398978139567,0.15151515151515152,0.8498275876045227,0.76209486,0.3997612722131505
0.2542372881355932,3.9186962126746825,0.29729729729729726,0.8570894002914429,0.70361185,0.5644489346764763
0.18840579710144925,1.9585353625856992,0.16091954022988506,0.8402339220046997,0.6497943,0.39275599629343516
0.08888888888888889,1.8706790066692034,0.07692307692307693,0.8232764601707458,0.5734401,0.24008226826586843
0.09239130434782608,0.9291433333903963,0.06779661016949153,0.8078169226646423,0.5844697,0.19682722688468118
0.27906976744186046,3.666600822373393,0.34782608695652173,0.89006108045578,0.8403691,0.6988661753230903
0.2127659574468085,2.9707159749433516,0.19607843137254902,0.865287721157074,0.75250554,0.5128412629872985
0.07575757575757575,0.8062760525022523,0.08,0.8267209529876709,0.5285779,0.21495146819599953
0.12307692307692306,1.5974567194177718,0.20606060606060606,0.8577601313591003,0.80296326,0.43788176051994987
0.04678362573099415,0.21396266661942936,0.05474452554744526,0.8291760087013245,0.621518,0.20586677747294593
0.12025316455696203,3.0134770751726903,0.10741687979539642,0.8464378714561462,0.759313,0.3807937104582436
0.03773584905660377,0.12970747326593035,0.0,0.8148314356803894,0.107798025,0.022223262885678177
0.12162162162162161,1.2990384578380083,0.0963855421686747,0.8202390074729919,0.7111027,0.28853252462506795
0.10747663551401869,0.7242834151475019,0.08480565371024736,0.8148952722549438,0.6444077,0.23986154723753467
0.0792079207920792,0.37598880280347774,0.06896551724137931,0.8079591393470764,0.79201365,0.2322092725042935
0.10344827586206896,1.8128215103086287,0.06250000000000001,0.8402506709098816,0.5877825,0.28128974332054274
0.05999999999999999,0.025687795588920447,0.04081632653061224,0.8326779007911682,0.45087153,0.17191797402184603
0.19178082191780824,4.364246200927671,0.12121212121212122,0.870262086391449,0.41230282,0.4150931088526814
0.078125,0.0017998862324773955,0.10071942446043165,0.8078888058662415,0.65843534,0.20685901864753414
0.0599250936329588,9.827492019647251e-08,0.07662835249042145,0.8120280504226685,0.5894908,0.1771615513502065
0.15,0.15073793574659267,0.15217391304347827,0.8483090996742249,0.5792456,0.3400352429951737
0.08602150537634408,0.11454233587734834,0.04651162790697675,0.8180989623069763,0.21712926,0.10519764094431633
0.19230769230769232,2.355420091257551,0.3076923076923077,0.861883282661438,0.4091219,0.4465289064105669
0.09195402298850576,0.4591485857887379,0.12,0.844323992729187,0.45409912,0.255231760858535
